Date,Country,City,Specie,count,min,max,median,variance
3/26/2020,MN,Ulan Bator,humidity,264,23,68,48,2735.98
4/27/2020,MN,Ulan Bator,humidity,264,6,57,16.5,3091.35
5/19/2020,MN,Ulan Bator,humidity,264,21,74,33,2942.7
6/4/2020,MN,Ulan Bator,humidity,264,24,86,37.5,4632.53
6/14/2020,MN,Ulan Bator,humidity,264,13,80,23.5,6173.52
1/9/2020,MN,Ulan Bator,humidity,240,70.5,84,76,108.56
2/27/2020,MN,Ulan Bator,humidity,264,66,92,81,613.78
3/8/2020,MN,Ulan Bator,humidity,264,63.5,92,78.5,755.04
3/13/2020,MN,Ulan Bator,humidity,264,51,76,70,730.85
3/24/2020,MN,Ulan Bator,humidity,264,18,79,64,4708.7
4/22/2020,MN,Ulan Bator,humidity,264,10.5,54.5,24,2283.84
5/4/2020,MN,Ulan Bator,humidity,264,10,44,24,938.54
5/7/2020,MN,Ulan Bator,humidity,264,18,55,31.5,1410.55
1/11/2020,MN,Ulan Bator,humidity,240,59,79.5,71.5,304.6
3/5/2020,MN,Ulan Bator,humidity,264,50,77,70,803.53
5/8/2020,MN,Ulan Bator,humidity,264,14,69,32,2650.51
7/3/2020,MN,Ulan Bator,humidity,264,40.5,93,62,2988.29
4/21/2020,MN,Ulan Bator,humidity,264,11.5,57,27,2150.01
5/20/2020,MN,Ulan Bator,humidity,264,33,87,52,2889.05
6/15/2020,MN,Ulan Bator,humidity,264,9.5,58,17.5,2829.78
6/18/2020,MN,Ulan Bator,humidity,262,16,78.5,48,4355.67
1/30/2020,MN,Ulan Bator,humidity,240,61,84,76,413.56
4/7/2020,MN,Ulan Bator,humidity,264,11.5,25,15,126.62
4/3/2020,MN,Ulan Bator,humidity,264,9,75.5,28,6065.82
4/17/2020,MN,Ulan Bator,humidity,264,10,72,14,5225.83
3/15/2020,MN,Ulan Bator,humidity,264,31,85,63,3178.01
3/16/2020,MN,Ulan Bator,humidity,264,30,79,56,2930.88
5/1/2020,MN,Ulan Bator,humidity,264,14.5,53,25,1447.25
