date, pm25, pm10, o3, no2, so2, co
7/5/15,134,66,72,27,8,8
7/6/15,130,52,44,19,9,9
7/7/15,117,51,59,19,12,11
7/8/15,93,80,97,32,11,11
7/9/15,151,73,44,21,12,15
7/10/15,140,48,65,13,11,13
7/11/15,96,57,55,14,9,11
7/12/15,109,75,78,32,8,10
7/13/15,132,112,137,43,10,11
7/14/15,159,118,117,50,18,15
7/15/15,173,87,66,36,14,18
7/16/15,180,25,60,18,15,10
7/17/15,101,43,46,17,11,9
7/18/15,127,71,81,26,8,9
7/19/15,158,93,85,38,13,14
7/20/15,162,77,89,33,11,14
7/21/15,143,83,135,32,14,15
7/22/15,149,90,101,40,15,14
7/23/15,154,42,43,32,8,17
7/24/15,122,51,106,33,4,9
7/25/15,116,68,112,26,11,12
7/26/15,153,54,49,23,13,9
7/27/15,122,46,37,20,10,8
7/28/15,95,53,48,22,11,8
7/29/15,100,60,52,22,12,7
7/30/15,114,61,46,17,8,6
7/31/15,106,73,51,21,10,7
8/1/15,90,65,47,21,13,6
8/2/15,91,68,60,22,12,8
8/3/15,103,72,53,23,17,7
8/4/15,121,63,44,18,14,7
8/5/15,112,68,47,24,10,6
8/6/15,116,52,83,19,7,8
8/7/15,112,60,61,24,8,9
8/8/15,107,63,55,13,9,8
8/9/15,125,47,31,9,4,6
8/10/15,97,22,20,8,3,7
8/11/15,74,30,34,10,4,7
8/12/15,78,55,62,21,10,10
8/13/15,99,64,165,25,11,10
8/14/15,115,84,91,30,18,12
8/15/15,161,87,39,32,12,14
8/16/15,152,69,99,30,6,10
8/17/15,143,94,107,39,11,14
8/18/15,160,90,81,28,12,10
8/19/15,162,50,32,22,11,15
8/20/15,116,46,52,14,6,5
8/21/15,94,64,88,30,8,9
8/22/15,122,85,103,36,11,13
8/23/15,151,110,91,36,15,16
8/24/15,161,83,88,14,8,9
8/25/15,158,86,84,20,8,9
8/26/15,159,95,112,44,12,13
8/27/15,162,137,132,48,13,13
8/28/15,173,104,103,42,15,14
8/29/15,165,103,134,32,16,14
8/30/15,172,113,109,46,16,14
8/31/15,167,110,105,42,16,16
9/1/15,168,84,77,28,9,9
9/2/15,158,64,99,15,15,9
9/3/15,140,78,105,27,18,15
9/4/15,147,85,62,29,14,10
9/5/15,143,56,77,24,15,10
9/6/15,119,99,73,30,19,18
9/7/15,148,79,93,12,12,17
9/8/15,170,75,109,28,20,19
9/9/15,141,86,118,33,18,16
9/10/15,141,80,195,31,18,19
9/11/15,146,84,50,31,16,15
9/12/15,146,63,64,15,9,11
9/13/15,152,68,74,28,21,15
9/14/15,118,95,97,33,21,13
9/15/15,140,96,113,35,22,16
9/16/15,162,86,104,36,18,16
9/17/15,154,102,79,35,32,13
9/18/15,151,67,61,34,17,13
9/19/15,147,64,85,31,17,15
9/20/15,136,98,120,42,20,14
9/21/15,165,103,117,46,22,14
9/22/15,168,87,57,37,19,14
9/23/15,161,74,108,29,23,15
9/24/15,159,83,42,30,13,16
9/25/15,170,55,43,20,10,10
9/26/15,127,84,91,37,16,18
9/27/15,158,98,109,43,17,16
9/28/15,160,91,119,39,26,17
9/29/15,164,66,77,21,21,16
9/30/15,125,35,65,13,12,8
10/1/15,94,65,69,17,14,11
10/2/15,119,118,94,41,21,14
10/3/15,154,130,101,50,21,18
10/4/15,178,112,100,41,22,25
10/5/15,165,84,77,34,15,28
10/6/15,175,58,49,29,11,25
10/7/15,153,27,60,18,9,21
10/8/15,102,35,68,12,12,19
10/9/15,102,64,52,23,20,17
10/10/15,139,93,71,39,14,19
10/11/15,158,117,81,46,14,16
10/12/15,173,137,92,58,23,20
10/13/15,177,125,68,59,28,20
10/14/15,174,137,59,54,41,15
10/15/15,179,150,97,66,31,18
10/16/15,194,175,109,67,27,24
10/17/15,202,130,115,57,27,18
10/18/15,185,159,123,68,28,23
10/19/15,201,117,112,55,25,18
10/20/15,170,119,102,55,24,18
10/21/15,171,143,112,59,26,17
10/22/15,177,104,109,46,22,20
10/23/15,171,132,107,40,21,20
10/24/15,195,137,107,49,25,28
10/25/15,203,122,104,43,19,17
10/26/15,190,99,39,26,17,14
10/27/15,186,57,52,21,12,9
10/28/15,103,75,38,35,22,14
10/29/15,145,34,69,21,14,11
10/30/15,100,100,59,23,15,16
10/31/15,212,62,62,21,14,12
11/1/15,148,73,81,28,18,14
11/2/15,220,82,70,42,19,16
11/3/15,161,91,93,37,27,17
11/4/15,167,93,46,39,28,19
11/5/15,177,80,62,31,20,19
11/6/15,168,68,23,27,16,15
11/7/15,150,28,51,14,11,15
11/8/15,102,51,61,18,9,16
11/9/15,150,72,66,30,20,22
11/10/15,165,77,45,27,17,19
11/11/15,184,83,100,27,21,19
11/12/15,180,53,164,24,12,13
11/13/15,157,46,52,24,5,14
11/14/15,226,68,34,33,15,19
11/15/15,158,66,18,28,14,23
11/16/15,154,48,24,20,5,19
11/17/15,158,48,22,20,23,20
11/18/15,149,40,24,19,6,24
11/19/15,225,53,97,20,10,23
11/20/15,146,68,118,25,16,24
11/21/15,152,78,13,25,15,24
11/22/15,159,64,14,20,17,24
11/23/15,151,24,12,16,15,19
11/24/15,117,72,36,14,13,19
11/25/15,103,57,58,22,16,18
11/26/15,155,63,56,29,19,14
11/27/15,215,79,33,35,24,17
11/28/15,151,108,18,39,23,22
11/29/15,178,87,24,32,15,16
11/30/15,179,104,18,31,17,19
12/1/15,185,85,65,30,19,19
